City,School Name,Slug
Kuala Lumpur,Stella Maris International School Kuala Lumpur,stella-maris-international-school
Kuala Lumpur,Straits International School Kuala Lumpur,straits-international-school
Kuala Lumpur,Summer International Secondary School Kuala Lumpur,summer-international-secondary-school
Kuala Lumpur,Sunway International School Kuala Lumpur,sunway-international-school
Kuala Lumpur,Tanarata International School Kuala Lumpur,tanarata-international-school
Kuala Lumpur,Templer Park International School Kuala Lumpur,templer-park-international-school
Kuala Lumpur,Tenby School Setia Eco Park Kuala Lumpur,tenby-school-setia-eco-park
Kuala Lumpur,Tenby School Setia Ecohill Kuala Lumpur,tenby-school-setia-ecohill
Kuala Lumpur,Tenby School Tropicana Aman Kuala Lumpur,tenby-school-tropicana-aman
Kuala Lumpur,The Alice Smith School Kuala Lumpur,the-alice-smith-school
Kuala Lumpur,The British International School Of Kuala Lumpur,the-british-international-school-of
Kuala Lumpur,The International School At Parkcity Kuala Lumpur,the-international-school-at-parkcity
Kuala Lumpur,The International School Of Kuala Lumpur,the-international-school-of
Kuala Lumpur,Tls International School Kuala Lumpur,tls-international-school
Kuala Lumpur,Tree Top International School Kuala Lumpur,tree-top-international-school
Kuala Lumpur,Ucsi International School Kuala Lumpur,ucsi-international-school
Kuala Lumpur,Ucsi International School Springhill Kuala Lumpur,ucsi-international-school-springhill
Kuala Lumpur,Ucsi International School Subang Jaya Kuala Lumpur,ucsi-international-school-subang-jaya
Kuala Lumpur,Utama International School Kuala Lumpur,utama-international-school
Kuala Lumpur,Valley International School Kuala Lumpur,valley-international-school
Kuala Lumpur,Victoria International School Kuala Lumpur,victoria-international-school
Kuala Lumpur,Vikas International School Kuala Lumpur,vikas-international-school
Kuala Lumpur,Wesley Methodist School Kuala Lumpur,wesley-methodist-school
Kuala Lumpur,Zenith International School Seremban Kuala Lumpur,zenith-international-school-seremban
Jakarta,Jakarta Intercultural School,jakarta-intercultural-school
Jakarta,British School Jakarta,british-school-jakarta
Jakarta,The Independent School of Jakarta,independent-school-of-jakarta
Jakarta,Sinarmas World Academy,sinarmas-world-academy
Jakarta,Australian Independent School Jakarta,australian-independent-school-jakarta
Jakarta,Tunas Muda School,tunas-muda-school
Jakarta,BTB School,btb-school
Jakarta,Sekolah Pelita Harapan Kemang Village,sekolah-pelita-harapan-kemang-village
Jakarta,ACG School Jakarta,acg-school-jakarta
Jakarta,Raffles Christian School Jakarta,raffles-christian-school-jakarta
Jakarta,NationalHigh Jakarta School,nationalhigh-jakarta-school
Jakarta,Binus School Serpong,binus-school-serpong
